Distrito,2016,2018,2020,2022,2024,2026 (Actual),Crecimiento Total (%)
Ciutat Vella,8.5,10.2,11.8,13.4,16.0,18.5,117.6
L'Eixample,8.1,9.8,11.5,13.1,15.1,19.0,134.5
El Pla del Real,7.8,9.2,10.6,12.2,14.2,17.6,125.6
Extramurs,7.2,8.5,9.7,11.2,12.8,15.9,120.8
Campanar,6.9,8.2,9.4,11.5,13.4,16.8,143.4
Algirós,6.5,7.8,9.2,10.3,11.2,13.8,112.3
Poblats Maritims,6.5,8.4,10.1,11.6,12.1,15.4,136.9
Camins al Grau,6.4,7.9,9.5,10.8,11.0,13.5,110.9
Benimaclet,6.2,7.5,8.8,10.0,10.5,12.9,108.0
Quatre Carreres,6.1,7.4,8.9,10.2,11.5,14.7,141.0
Patraix,5.4,6.5,7.6,8.8,9.7,12.5,131.4
Rascanya,5.2,6.1,7.2,8.4,9.8,13.0,150.0
Benicalap,5.1,6.0,7.0,8.2,9.1,12.2,139.2
L'Olivereta,5.0,5.9,6.9,8.0,8.9,11.6,132.0
Jesús,4.9,5.8,6.8,7.9,8.7,11.2,128.5
Media Ciudad,6.5,7.8,9.1,10.7,12.4,16.4,152.3
La Saidia,6.1,7.0,8.1,10.5,12.4,14.9
